X Y Z L1
 695470.301 3990046.353    1971.446       1.000
 692016.029 3999740.126    1663.598       1.000
 699878.883 4003482.954    1731.569       1.000
 723173.334 4002274.035    1715.110       1.000
 695120.286 3999821.985    1691.640       1.000
 702202.173 3988669.956    1701.089       1.000
 731221.701 4030015.560    1805.940       1.000
 714802.835 3976812.394    1998.269       1.000
 698362.601 3998695.804    1662.989       1.000
 735152.597 4029310.720    1697.126       1.000
 690698.922 3988535.631    2147.316       1.000
 779717.480 4006069.644    2553.005       1.000
 714319.363 3968917.884    1668.780       1.000
 730910.898 4032088.650    1767.840       1.000
 701058.674 3977237.031    1983.029       1.000
 730192.130 4037400.455    1755.038       1.000
 728999.961 4023033.965    1744.980       1.000
 699702.794 4000159.201    1700.479       1.000
 717126.851 3967846.478    1958.340       1.000
 709696.151 3968263.212    1623.060       1.000
 715806.549 3968985.432    1729.740       1.000
 705889.145 3946430.079    1677.619       1.000
 700224.037 3990037.995    1706.880       1.000
 715746.214 3994292.801    2308.860       1.000
 697078.719 4004190.789    1760.220       1.000
 712988.412 3969291.781    1623.060       1.000
 714010.876 3968500.920    1714.500       1.000
 699875.235 4001000.694    1628.546       1.000
 705664.544 3983653.452    1684.020       1.000
 705017.178 3991590.553    1624.889       1.000
 747472.638 3996407.695    1722.120       1.000
 702551.851 3994554.890    1645.920       1.000
 704760.934 3986744.205    1722.120       1.000
 710694.866 3970972.899    1577.340       1.000
 706616.013 3967041.866    1661.160       1.000
 706483.356 3942536.571    1729.740       1.000
 718149.821 3931229.027    1737.360       1.000
 700632.002 3999935.732    1691.640       1.000
 697911.904 3999360.535    1693.469       1.000
 714718.102 3969081.707    1729.740       1.000
 706676.766 3993863.647    1783.080       1.000
 701144.503 3985709.171    1912.620       1.000
 711492.048 3968833.218    1704.137       1.000
 703636.821 3985752.628    1524.000       1.000
 708002.188 3984618.030    1851.660       1.000
 707048.570 3941039.790    1735.226       1.000
 715502.386 3968478.743    1752.600       1.000
 695859.253 4001827.320    1714.500       1.000
 703810.371 4001941.443    1661.160       1.000
 698710.135 3965188.122    2057.400       1.000
 692652.432 4002503.339    1678.229       1.000
 711951.205 3970589.690    1647.749       1.000
 737113.837 4019307.124    1739.189       1.000
 713344.795 3970466.581    1662.989       1.000
 699204.240 4003342.200    1773.326       1.000
 706481.891 3989788.436    1655.369       1.000
 710157.335 3971659.194    1577.340       1.000
 699449.878 3993468.316    1737.360       1.000
 708674.579 3973610.798    1722.120       1.000
 753147.762 3979843.907    2019.300       1.000
 700874.590 3959992.244    1907.438       1.000
 714727.505 3968836.753    1722.120       1.000
 706079.579 3998900.499    1676.400       1.000
 705180.817 3985766.966    1760.220       1.000
 708858.239 3973712.962    1685.849       1.000
 694459.359 3987122.685    2049.780       1.000
 695305.690 4002930.218    1699.260       1.000
 708642.342 3972263.911    1592.580       1.000
 697759.237 3994591.860    1600.200       1.000
 716757.456 3966175.730    1965.960       1.000
 722013.845 3980341.423    1988.820       1.000
 708952.650 3977636.304    1714.500       1.000
 700388.358 3990853.883    1684.020       1.000
 702365.011 3999006.421    1645.920       1.000
 705677.202 3985906.032    1722.120       1.000
 709541.316 3971735.586    1609.649       1.000
 718608.424 3965443.814    2085.746       1.000
 713116.845 3969798.791    1706.880       1.000
 715548.093 3967142.141    1729.740       1.000
 704099.219 4004248.786    1737.360       1.000
 697340.464 3999168.087    1733.398       1.000
 699811.165 3965089.720    2138.477       1.000
 711550.752 3973689.913    1684.020       1.000
 697604.830 3998263.270    1676.400       1.000
 691229.914 3988917.237    2124.456       1.000
 709610.380 4009200.160    1914.449       1.000
 712329.808 3970384.944    1638.300       1.000
 695286.169 4001007.452    1668.780       1.000
 713470.175 3967731.970    1706.880       1.000
 713123.426 3969126.080    1711.757       1.000
 725100.260 3902989.729    1722.120       1.000
 710804.962 3970923.867    1670.609       1.000
 723460.850 4011401.841    2118.360       1.000
 697619.669 4001254.264    1670.609       1.000
 702061.587 3991457.144    1684.020       1.000
 714231.952 3969166.874    1674.266       1.000
 710960.884 3997557.618    1765.706       1.000
 694551.479 4000621.845    1684.020       1.000
 731527.494 4043307.282    1708.099       1.000
 711053.597 3969866.953    1739.189       1.000
 721021.532 3908029.471    1537.716       1.000
 701124.541 3993659.461    1664.818       1.000
 698946.906 3988331.331    1706.880       1.000
 714396.722 3968486.563    1706.880       1.000
 706808.914 3990798.021    1647.749       1.000
 717642.845 3968010.352    1905.000       1.000
 714096.153 3969278.761    1742.846       1.000
 711847.936 3970468.645    1653.540       1.000
 699662.859 3991664.708    1615.440       1.000
 732210.415 4037751.837    1775.460       1.000
 707784.650 3972244.093    1773.326       1.000
 705089.334 3962389.702    1737.360       1.000
 700293.845 3998321.045    1653.540       1.000
 713129.857 3973484.448    1697.126       1.000
 727062.190 4005784.925    1737.360       1.000
 709831.005 3968740.671    1726.997       1.000
 693315.642 4003383.453    1752.600       1.000
 708955.066 3972360.236    1619.098       1.000
 695327.588 3990215.925    1874.520       1.000
 710102.585 4000039.226    1684.020       1.000
 710670.779 3971231.051    1607.820       1.000
 701384.151 3988162.082    1691.640       1.000
 720253.222 4004760.007    1719.986       1.000
 700829.019 3992813.863    1670.609       1.000
 703142.144 3987442.109    1624.889       1.000
 699450.738 3998167.128    1645.920       1.000
 709607.644 3975498.634    1623.060       1.000
 718116.962 3915340.377    1456.639       1.000
 695673.009 3994520.863    1706.880       1.000
 711981.268 3981370.327    2011.680       1.000
 722995.534 3907470.029    1645.920       1.000
